case_id,DSC_1,HD_1,HD95_1,ASSD_1,RVE_1,NSD_1,NLesions_1,MissedLesions_1
r001s001,0.7916,52.67,10.34,2.49,0.2549,0.6042,4,1
r001s002,0.9135,49.83,3.16,0.86,0.004,0.8191,3,2
r001s003,0.791,10.82,3.11,0.68,0.3268,0.8308,2,0
r001s004,0.6887,107.6,101.1,19.44,0.2402,0.5892,3,2
r001s005,0.331,31.84,23.37,4.79,0.7936,0.453,1,0
r001s006,0.1606,40.01,28.3,6.02,0.8747,0.2169,4,2
r001s007,0.7074,16.52,2.24,0.96,0.4512,0.8708,2,0
r001s008,0.1653,75.83,70.11,11.76,0.9093,0.1882,4,3
r001s009,0.6096,38.47,6.4,1.64,0.7354,0.6093,7,3
r001s010,0.8296,9.64,4.26,1.17,0.0976,0.6701,2,1
r001s011,0.8928,4.24,1.41,0.35,0.0046,0.9473,2,0
r001s012,0.4623,17.46,11.87,2.83,0.6344,0.4545,1,0
r001s013,0.438,58.91,13.38,4.35,0.8734,0.3524,4,2
r001s014,0.5591,48.55,39.19,6.11,0.5985,0.5099,1,0
r001s015,0.8951,5.1,1.41,0.39,0.006,0.9325,2,0
r001s016,0.3149,39.86,8.77,2.38,0.8042,0.415,7,5
r001s017,0.5523,54.58,51.75,6.29,0.4983,0.5231,3,1
r001s018,0.9198,1.0,1.0,0.13,0.0609,1.0,1,0
r001s019,0.7889,47.17,5.48,1.44,0.1191,0.6308,3,2
r001s020,0.8366,22.16,6.71,1.48,0.0286,0.722,1,0
r001s021,0.6947,25.08,8.94,1.4,0.2003,0.8064,4,2
r001s022,0.0,57.88,56.32,44.88,9.5405,0.0,1,1
r001s023,0.0,29.43,28.93,26.42,2.25,0.0,1,1
r001s024,0.7925,2.45,1.41,0.42,0.5052,0.939,1,0
r001s025,0.8854,3.0,1.73,0.35,0.1073,0.9112,1,0
r001s026,0.8645,40.12,1.41,0.49,0.0656,0.9302,2,1
r001s027,0.8086,55.48,52.84,3.08,0.2588,0.9117,2,1
